master_row,pole_id,unit,age_ma,rating,reference,sheet_name,sheet_rows,match_status,note
1,zigan_formation_clastic_rocks_c_548,Zigan formation clastic rocks C,548,B,Levashova et al. (2013),Zigan Fm clastic,39,manual,
2,zigan_htc_thin_beds_548,Zigan HTC thin beds,548,B,Bazhenov et al. (2016),Zigan HTC thin beds,6,manual,
3,mean_vendian_sediments_556,MEAN Vendian sediments,556,B,"Popov et al. (2002, 2005); Iglesia Llanos (2005); Fedorova et al. (2014)",MEAN Vendian sediments,0,exact_empty,
4,winter_coast_sediments_556,Winter Coast Sediments,556,B,Popov et al. (2002),Winter Coast Sediments,91,exact,
5,zolotitsa_redbeds_556,Zolotitsa Redbeds,556,B,Iglesia Llanos (2005),Zolotitsa_Lianos_Paper_data,57,manual,
6,zolotitsa_redbeds_556,Zolotitsa Redbeds,556,B,Popov et al. (2005),Zolotitsa Redbeds2,295,manual,
7,chernokamenskay_group_sediments_c_557,Chernokamenskay group sediments C,557,B,Fedorova et al. (2014),Chernokamenskay group sediments,19,manual,
8,basu_formation_precise_560,Basu formation precise,560,B,Levashova et al. (2015),Basu formation  (precise),24,manual,
9,basu_kukkarauk_formation_c_562,Basu Kukkarauk formation C,562,B,Golovanova et al. (2015),Basu-Kukkarauk formation -C,17,manual,
10,kurgashlya_formation_565,Kurgashlya formation,565,A,Lubnina et al. (2014),Kurgashlya formation,2,exact,
11,bakeevo_formation_565,Bakeevo formation,565,A,Lubnina et al. (2014),Bakeevo formation,2,exact,
12,volhyn_lavas_571,Volhyn lavas,571,B,Elming et al. (2007),Volhyn lavas,5,exact,
13,egersund_dykes_616,Egersund dykes,616,A,Walderhaug et al. (2007),Egersund dykes,10,exact,
14,katav_formation_800,Katav Formation,800,B,Pavlov and Gallet (2010),Katav Formation,3,exact,
15,hunnedalen_dykes_848,Hunnedalen Dykes,848,C+,Walderhaug et al. (1999),Hunnendalen dykes,6,strong,
16,southwestern_telemark_lithotectonic_unit_900,Southwestern Telemark lithotectonic unit,900,C+,Kulakov et al. (2022),Southwestern Telemark lithotect,9,manual,
17,mean_rogaland_igneous_cx_903,MEAN Rogaland igneous cx,903,B,Brown and McEnroe (2004); Walderhaug et al. (2007); Brown and McEnroe (2015); Brown et al. (2024),MEAN Rogaland igneous cx,117,exact,
18,bratton_and_algon_igneous_rocks_916,Bratton and Algon Igneous Rocks,916,B,Stearn and Piper (1984),Bratton and Algon,11,strong,
19,blekinge_dalarna_dykes_group_a_943,Blekinge Dalarna dykes Group A,943,B,Gong et al. (2018),"Blekinge-Dalarna dykes, Group A",12,exact,
20,dykes_of_central_and_southern_sweden_945,Dykes of central and southern Sweden,945,A,Elming et al. (2014),Dykes of central and S sweden,10,manual,
21,blekinge_dalarna_dykes_group_b_971,Blekinge Dalarna dykes Group B,971,C+,Gong et al. (2018),"Blekinge-Dalarna dykes, Group B",4,exact,
22,central_telemark_lithotectonic_unit_1000,Central Telemark lithotectonic unit,1000,C+,Kulakov et al. (2022),Central Telemark lithotectonic,23,manual,
23,laanila_ristijarvi_dykes_1044,Laanila Ristijarvi Dykes,1044,B,Mertanen et al. (1996),Laanila-Ristijarvi Dykes,7,exact,
24,bamble_lithotectonic_unit_1090,Bamble lithotectonic unit,1090,C+,Kulakov et al. (2022),Bamble lithotectonic unit,38,exact,
25,salla_dyke_width_60_100_m_1122,Salla Dyke width 60 100 m,1122,B,Salminen et al. (2009),Salla Dyke (width 60-100 m),13,exact,
26,mean_post_jotnian_intrusions_1258,MEAN post Jotnian intrusions,1258,A,Elming and Mattsson (2001); Salminen et al. (2023),MEAN post-Jotnian intrusions,56,exact,
27,bornholm_group_i_dykes_1326,Bornholm Group I dykes,1326,A,Luoto et al. (2021),Bornholm Group I dykes,37,exact,
28,mashak_suite_1376,Mashak suite,1376,B,Lubnina (2009),Mashak,6,strong,
29,lake_ladoga_basalt_sill_dykes_1452,Lake Ladoga basalt sill dykes,1452,A,Lubnina et al. (2020),"Lake Ladoga, Mean intr. & dykes",4,manual_check,
30,western_dalarna_intrusions_1465,Western Dalarna intrusions,1465,A,Gong et al. (2026),MEAN post-Jotnian intrusions,56,manual_check,
31,mean_bunkris_glysjon_oje_delete_see_comment_1469,MEAN Bunkris Glysjon Oje delete (see comment),1469,B,"Checked in Kringler. LULEÅ working group mean (Mulder, 1971; Bylund, 1985; Piper, 1992; Piper and Smith, 1980); age from Söderlund et al. (2005)",MEAN Bunkris Glysjon Oje,19,strong,
32,mean_1500_ragunda_dykes_group_1_plus_stromsbro_rapakivi_stromsbro_dykes_rodo_rapakivi_1499,Mean 1500 Ragunda dykes group 1 plus Strömsbro rapakivi Strömsbro dykes Rödö rapakivi,1499,A,Salminen et al. (2021),Mean 1500 (Ragunda-dykes group,18,strong,
33,ragunda_formation_1506,Ragunda Formation,1506,B,Piper (1979),Ragunda Formation,15,exact,
34,ragunda_dykes_rapakivi_group_2_1510,Ragunda dykes rapakivi group 2,1510,A,Salminen et al. (2021),Ragunda dykes + rapakivi (group,20,strong,
35,aland_dyke_swarm_1578,Åland dyke swarm,1578,A,Salminen et al. (2016),Åland dyke swarm (only dykes),63,manual,
36,satakunta_dyke_swarm_c_1578,Satakunta dyke swarm C,1578,A,Salminen et al. (2014),Satakunta dyke swarm -C (only d,13,manual,
37,hoting_basic_dykes_1614,Hoting basic dykes,1614,B,"Elming et al. (2004, 2009)",Hoting basic dykes,4,exact,
38,hame_e_w_satakunta_1642,Häme E W Satakunta,1642,A,Salminen et al. (2021),Häme + E-W Satakunta,15,exact,
39,hame_dyke_swarm_1647,Häme dyke swarm,1647,B,Salminen et al. (2017),Häme dyke swarm,11,exact,
40,turinge_gabbro_diabase_1700,Turinge gabbro diabase,1700,A,Elming et al. (2019),Turinge gabbro-diabase,6,exact,
41,mean_ropruchey_sill_1751,MEAN Ropruchey sill,1751,B,Fedotova et al. (1999),MEAN Ropruchey sill,4,exact,
42,shoksha_sandstones_1775,Shoksha Sandstones,1775,B,Pisarevsky and Sokolov (2001),Shoksha Sandstones,36,exact,
43,smaland_intrusives_c_1777,Småland intrusives C,1777,A,Pisarevsky and Bylund (2010),Småland intrusives -C,11,exact,
44,hoting_gabbro_1786,Hoting gabbro,1786,A,Elming et al. (2009),Hoting gabbro,5,exact,
45,lake_ladoga_mean_intr_dykes_a_1800,Lake Ladoga Mean intr dykes A,1800,B,Mertanen et al. (2006),"Lake Ladoga, Mean intr. & dykes",4,strong,
46,nottrask_gabbro_1806,Notträsk gabbro,1806,C+,Elming et al. (2009),Notträsk gabbro (C+ remove from,0,manual_empty,
47,eastern_murmansk_sills_1860,Eastern Murmansk sills,1860,B,Veselovskiy et al. (2019),Eastern Murmansk sills,25,exact,
48,keuruu_dykes_1869,Keuruu dykes,1869,B,Klein et al. (2016),Keuruu dykes,21,exact,
49,svecofennian_gabbro_intrusions_1885,Svecofennian gabbro intrusions,1885,B,Luoto et al. (2023),Svecofennian gabbro intrusive,27,strong,
50,onega_1975_ma_intrusions_1976,Onega 1975 Ma Intrusions,1976,A,Lubnina et al. (2017),Onega 1975 Ma Intrusions,10,exact,
51,varpaisjarvi_dolerites_basement_2295,Varpaisjärvi dolerites basement,2295,B,Mertanen et al. (2006),Varpaisjärvi dolerites & baseme,15,strong,
52,taivalkoski_2_3_ga_dyke_2339,Taivalkoski 2.3 Ga dyke,2339,C+,Salminen et al. (2014),Taivalkoski 2.3 Ga dyke,0,exact_empty,
53,kivakka_intrusion_2443,Kivakka intrusion,2443,B,Lubnina et al. (2025),Kivakka,8,strong,
54,karelian_dykes_2446,Karelian Dykes,2446,B,Mertanen et al. (1999),Karelian Dykes,11,exact,
55,mean_d_burakovskaya_intrusion_and_remagnetized_avdeev_shalskiy_dykes_2449,Mean D Burakovskaya intrusion and remagnetized Avdeev Shalskiy dykes,2449,B,Sherbakova et al. (2017); Mertanen et al. (2006),Mean D Burakovskaya intrusion a,8,strong,
56,mean_d_shalskiy_deda_gorelyi_glubokaya_dyke_2511,Mean D' Shalskiy Deda Gorelyi Glubokaya dyke,2511,B,Sherbakova et al. (2017); Mertanen et al. (2006),Mean D' Shalskiy-Deda-Gorelyi-G,8,strong,
57,tsuomasvarri_gabbro_diorite_intrusion_1931,Tsuomasvarri Gabbro Diorite Intrusion,1931,B,Mertanen and Pesonen (1994),Tsuomasvarri Gabbro-Diorite Int,8,strong,
58,kuetsyarvi_formation_2060,Kuetsyarvi Formation,2060,B,Torsvik and Meert (1995),Kuetsyarvi,10,strong,
59,generalskaya_layered_intrusion_2505,Generalskaya Layered Intrusion,2505,B,Arestova et al. (2002),Generalskaya Layered Intrusion,0,exact_empty,
60,volyn_dniestr_bug_intrusions_1722,Volyn Dniestr Bug intrusions,1722,B,Elming et al. (2010),Volyn-Dniestr-Bug intrusions gE,5,strong,
61,volyn_dniestr_bug_intrusions_1755,Volyn Dniestr Bug intrusions,1755,A,Elming et al. (2010),Volyn-Dniestr-Bug intrusions gE,5,strong,
62,volyn_dniestr_bug_intrusions_2000,Volyn Dniestr Bug intrusions,2000,B,Elming et al. (2010),Volyn-Dniestr-Bug intrusions gE,5,strong,
63,volyn_dniestr_bug_intrusions_a_group_2061,Volyn Dniestr Bug intrusions A group,2061,B,Elming et al. (2010),Volyn-Dniestr-Bug intrusions gA,3,manual,
999,laurentia_sept_iles_layered_intrusion_check,Laurentia Sept-Iles Layered Intrusion benchmark,565,check,"Tanczyk et al. (1987); Bono and Tarduno (2015)",Sept-Iles Layered Intrusion,10,benchmark,Not part of Baltica compilation; used only as Laurentia benchmark check
